dist_goal_base,min_dist_to_env,dist_goal_right_arm,dist_goal_left_arm,seed,done
0.604427923780526,0.21876353660871314,0.1706937723947488,0.09854694382938642,20,False
0.780408910565386,0.21842922096880144,0.17123083665665176,0.09678714425856777,20,False
0.8607190498870385,0.2179592123984452,0.1707530670423014,0.0938860547471884,20,False
0.8616805391325008,0.21750316205437,0.167747204088968,0.09210380161296812,20,False
0.862760296587753,0.21713714158876649,0.16600397937366576,0.09318347402790482,20,False
0.8632134239901985,0.21685060357397748,0.166932769005196,0.0957157736081308,20,False
0.8634195664437785,0.21659669989696392,0.16815609144554805,0.09824006700954292,20,False
0.8637185452018107,0.21635027520218683,0.16799088527327982,0.10131549101885567,20,False
0.863797395582855,0.21600305623351876,0.16737491773535992,0.10508605432517396,20,False
0.8633791387296629,0.21538731133927555,0.16668262055603056,0.10740110463935398,20,False
0.8628650887847569,0.21459867456221718,0.16477472643188865,0.10846573702669013,20,False
0.8625310111345722,0.21387713444467618,0.16171636105778142,0.11021774852863823,20,False
0.8619401399481049,0.21334536125570716,0.1588401677071642,0.1120446310142057,20,False
0.8609886492546466,0.21308668101713926,0.1565433946521657,0.11220736775090656,20,False
0.8601611604266882,0.21327759245689912,0.1540825861251784,0.11170809878287274,20,False
0.8593784935293667,0.21401466342250422,0.15159574569364276,0.11172591787222828,20,False
0.85813865027057,0.214759486713013,0.14981554560799012,0.11072756138640126,20,False
0.8566513665730217,0.21577174865207185,0.1483853618388876,0.10805852612802541,20,False
0.8553807427967502,0.21713848507878117,0.14664463560408417,0.10576943957704948,20,False
0.8539660252321842,0.21881869315421767,0.1450374032310668,0.10404091803489775,20,False
0.8520668543358664,0.2206765199353485,0.1439153870157066,0.10086019152084263,20,False
0.8501624705718296,0.22270066537650093,0.14264001004276294,0.09703046836213292,20,False
0.848473104320812,0.22493243182915326,0.14093797725147086,0.09467876218388302,20,False
0.846471534608258,0.22729394235570047,0.1394455430448599,0.09256410599782376,20,False
0.844084862163806,0.2297121421377327,0.1381946079209825,0.08902235310961519,20,False
0.8418613209720804,0.23225673358610263,0.13658563178017885,0.08603984034943546,20,False
0.8397209750501405,0.23496117522762502,0.13474723433336613,0.08480458358575839,20,False
0.8371611354903429,0.237745401460302,0.13324874413100718,0.08301856088192507,20,False
0.8344184464122651,0.24019317121669267,0.1318116417494458,0.08020124523711657,20,False
0.8319242680864491,0.242758288649311,0.1300158774666867,0.07882473937902545,20,False
0.8293330252732628,0.24551990511223734,0.12826317191268422,0.07855364658385826,20,False
0.826355688652013,0.24842535249533884,0.1268420711747584,0.0770095405363733,20,False
0.8234298547880904,0.25151969032922206,0.12532271564023217,0.07513274262246956,20,False
0.8207546847588477,0.25486259377861165,0.12348754161963033,0.07490366827685797,20,False
0.8179283483961021,0.2584078150904334,0.12188670162560708,0.0750603232400657,20,False
0.8149730444321777,0.26212452565968924,0.12081555540553042,0.07473108348057121,20,False
0.8122494146221885,0.26602188976497443,0.12022492022745497,0.07559840299236308,20,False
0.8096059385571077,0.26984474716845663,0.12018653694086352,0.0783296882227452,20,False
0.8067076497071126,0.2734421018768718,0.12036256140811491,0.08070010588231627,20,False
0.8037110924750751,0.2723754708239301,0.12015755265509379,0.08218232968760768,20,False
0.8008713227822787,0.2699953683593511,0.11931938765271323,0.0845171572758528,20,False
0.797987533290502,0.26760102180649925,0.1182890448523812,0.08731570115092145,20,False
0.7948914405652496,0.2651246335154026,0.11740539485362722,0.08880861220541214,20,False
0.7918720989075,0.26252281493373353,0.1163665929107055,0.08937017458769897,20,False
0.7891657703497571,0.25981878040911766,0.11487152319917464,0.09007419233278986,20,False
0.7865503323852332,0.25705054802675253,0.1132642316336257,0.09029595192479814,20,False
0.7838870637665737,0.2542428668662453,0.11184611090698997,0.08934896166224492,20,False
0.7813464234767288,0.25144413895615825,0.11028919979548842,0.0880251744159548,20,False
0.7789412499874417,0.2486907082279797,0.10845573082040044,0.08690899209941702,20,False
0.7764702951897142,0.24599190047763034,0.10680036911252012,0.0854318181881057,20,False
0.77392668013548,0.24335244110536183,0.10545949477724227,0.08340567342503376,20,False
0.7714671087513397,0.24079122202569134,0.10403206058131079,0.0815438305084259,20,False
0.7690545807743864,0.23831405562958843,0.10252883711565355,0.07998362836331174,20,False
0.7665679949352605,0.23591510198895846,0.10134333402675139,0.07822374247874687,20,False
0.764075788984444,0.23360997751399185,0.10036922710741293,0.07635134401981326,20,False
0.7616735899347042,0.231417195663112,0.09927290161683319,0.07487493564347689,20,False
0.7592735023272085,0.2293419604667676,0.0982397331552301,0.07362498677697678,20,False
0.7568189468803196,0.22738538742413741,0.09748362020433059,0.07226883062184009,20,False
0.7543969890344141,0.22556069984974378,0.09676706810826576,0.07107460738755061,20,False
0.7520356789277735,0.22327728652398762,0.0959364454438938,0.0702731647083833,20,False
0.7496422587223481,0.22001101148204374,0.0952032775182707,0.0695348537680985,20,False
0.7472151759408444,0.21685033463403422,0.09459284319818999,0.06872042125417663,20,False
0.7448244691576048,0.21378071377675043,0.09390817192268894,0.0681144427961244,20,False
0.7424488236235108,0.21078882519682882,0.09314377140306258,0.06771466275291453,20,False
0.7400271216465563,0.20785562479624328,0.0924265917437131,0.06722519895099836,20,False
0.7375842488004153,0.20496070142158926,0.09170816097140971,0.06666298566795405,20,False
0.7351514990050365,0.20209014887936885,0.09089487247478825,0.06621654797344834,20,False
0.7326895698107626,0.19923117087957484,0.0900392025294925,0.06576909049841083,20,False
0.7301800172275092,0.19636974137373228,0.08918089444051355,0.06517770767401987,20,False
0.7276471841387533,0.19349662837098355,0.0882747169904226,0.0645303488643101,20,False
0.7250976607948629,0.1906032184605105,0.0872989702506746,0.06389838611267702,20,False
0.7225058005340491,0.18768234579406182,0.08629862617618879,0.06317175546585431,20,False
0.7198731501232452,0.18473260864679006,0.08528080385730986,0.06232968329595139,20,False
0.7172082438176337,0.18175789972777243,0.0842334436192099,0.06143270478015344,20,False
0.7145098706603957,0.1787649191011144,0.08316260559968555,0.060484946332931465,20,False
0.7117691824373881,0.17575906531656935,0.08209078075039097,0.05943275489061509,20,False
0.7089964402499456,0.17274183619026515,0.08101550596601548,0.05830378663160245,20,False
0.7062207249169151,0.16970556225853214,0.0799140035590598,0.057143605141708596,20,False
0.7034708446163669,0.1666371652200935,0.07881917081071423,0.05596839962707125,20,False
0.7008077183605416,0.1635490087730083,0.07767176164894889,0.05478305988793603,20,False
0.6982671272811366,0.16055043491690799,0.07587983055723707,0.05278084777301636,20,False
0.695758587709012,0.15779688295894925,0.07331164634859119,0.05012443818017856,20,False
0.6932198256051593,0.15529219575959222,0.07094262013102709,0.04826699153777154,20,False
0.6907022388634252,0.152990339421784,0.06948539173264023,0.04756769242886153,20,False
0.6881318778939259,0.1508325286983854,0.06946346559963106,0.04747784246122383,20,False
0.6853797202093712,0.14872600893908902,0.07051448842157275,0.04731848558141186,20,False
0.6824787762246276,0.1466352001824204,0.07156518700478152,0.046988984433123666,20,False
0.6795225870748436,0.14455983769063158,0.0725502953793964,0.04671555161794758,20,False
0.676533847797269,0.14244887792152364,0.0738649088752924,0.046395822473051566,20,False
0.6735238508816044,0.1402318698674928,0.07511400724692624,0.0459245343036802,20,False
0.670535637574638,0.13785171777706512,0.07576778446260413,0.04553913912907346,20,False
0.6675431135338941,0.1352888014648009,0.07602844487775579,0.045228978558871036,20,False
0.6645104137912222,0.13251633490141201,0.07611727579456554,0.04471282077508435,20,False
0.661481684430201,0.1295004627390991,0.07579807049479423,0.04417237024889352,20,False
0.6584698201323141,0.1262504569449588,0.0749491948241694,0.04384708710616507,20,False
0.6553936076856288,0.12278961828577259,0.07385281246207344,0.04347504512189444,20,False
0.6522329253135741,0.11913725742800413,0.07268981702557004,0.04286647096393175,20,False
0.6490647977590351,0.11530959390384687,0.07132225942896375,0.042372608322298506,20,False
0.6458621282101833,0.11133005618454275,0.06974757615131082,0.04205067678081092,20,False
0.6425399619214195,0.10722780774839874,0.0682817245811912,0.04154707810487038,20,False
0.6391389765326976,0.10302550867473925,0.06702412597722703,0.04093697211596503,20,False
0.6357275381407269,0.09873364476825677,0.06569789195283125,0.040530701774423444,20,False
0.6322411193459694,0.09437826406470012,0.06439897239184109,0.040179592029036995,20,False
0.6286390564573322,0.09000352366361339,0.0632643164130083,0.03947302468375828,20,False
0.6250540564952555,0.08565480431902028,0.062189917717158094,0.03879843170362526,20,False
0.6215318887078913,0.08137998707462113,0.06116145418067407,0.03848624081747236,20,False
0.6179596948980569,0.07722053203368681,0.06040249998920354,0.03811203378685832,20,False
0.614304466853369,0.07320425162343419,0.059951724887912304,0.03743192494733623,20,False
0.6106597076266114,0.06934367432885574,0.059429484963573864,0.03676805912499586,20,False
0.6070507593908409,0.06565209384873749,0.05877166322447167,0.036295007478387174,20,False
0.603400748498241,0.06215157320494169,0.058350258917829,0.035734348357516973,20,False
0.5997215168762503,0.05885760396866041,0.058124600220872756,0.034978781644323984,20,False
0.596062587569418,0.055769252113708645,0.05766720838366002,0.03419357403441776,20,False
0.5923839789993764,0.052893159719487715,0.057156906061294734,0.03345297628800553,20,False
0.5888573808218878,0.050244964786636676,0.05751843479296444,0.03398513978669755,20,False
0.5853943318032696,0.04778138323377462,0.0585060128764872,0.035748617832732726,20,False
0.5819736825696188,0.04548955662706394,0.05946450083913789,0.03737866656247615,20,False
0.5787157290546245,0.04336740951433968,0.05990748621865354,0.0391398494964861,20,False
0.5756138602827863,0.04139728953947752,0.05980936146563085,0.04173539356145133,20,False
0.57249939096723,0.03957192660318923,0.05955270482233516,0.04403640314801709,20,False
0.5694096742796474,0.03791865535464145,0.059276159420754,0.045249221161416275,20,False
0.5665823435156864,0.03647364886234983,0.05860743793674621,0.046813274500268676,20,False
0.5639268200165496,0.03526122940577564,0.05755780014844897,0.04891039619107567,20,False
0.561192140805148,0.0342998680778743,0.05663014769929686,0.0498171865044091,20,False
0.5584905034763916,0.03244230133565992,0.055855860111191806,0.04967082951191194,20,False
0.5560199693702487,0.030452189858131695,0.05486151789216358,0.05011295343901764,20,False
0.5536089497642983,0.028785222773906716,0.05389807004074352,0.05059513800696969,20,False
